Rk,Player,Age,MP,eFG%,FT%,TRB,AST,PTS,Team
6,Jeremy Sochan,19,26.0,.483,.698,5.3,2.5,11.0,Spurs
7,Josh Richardson,29,23.7,.527,.883,2.8,3.3,11.5,Spurs
8,Malaki Branham,19,23.5,.503,.829,2.7,1.9,10.2,Spurs
9,Joshua Primo,20,23.3,.404,.778,3.3,4.5,7.0,Spurs
10,Sandro Mamukelashvili,23,23.3,.520,.692,6.8,2.4,10.8,Spurs
11,Zach Collins,25,22.9,.568,.761,6.4,2.9,11.6,Spurs
12,Keita Bates-Diop,27,21.7,.568,.793,3.7,1.5,9.7,Spurs
13,Julian Champagnie,21,20.9,.590,.824,4.0,0.7,11.0,Spurs
14,Doug McDermott,31,20.5,.575,.757,2.2,1.4,10.2,Spurs
15,Romeo Langford,23,19.6,.498,.696,2.7,1.2,6.9,Spurs
16,Blake Wesley,19,18.1,.367,.591,2.2,2.7,5.0,Spurs
17,Stanley Johnson,26,15.6,.607,.667,3.2,2.2,5.8,Spurs
18,Dominick Barlow,19,14.6,.535,.720,3.6,0.9,3.9,Spurs
19,Charles Bassey,22,14.5,.656,.595,5.5,1.3,5.7,Spurs
20,Gorgui Dieng,33,11.5,.474,.769,3.5,1.7,3.9,Spurs
21,Isaiah Roby,24,11.3,.490,.488,2.5,0.9,4.1,Spurs
22,Jordan Hall,21,9.2,.375,.778,1.3,1.2,3.1,Spurs
23,Alize Johnson,26,7.5,.500,.500,2.5,0.3,1.8,Spurs
